delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,state
-2,-1,0,0,0,0,0,0,2,-1,0,0,0,0,0,0,easy
-3,-2,0,0,0,0,0,0,-6,-2,0,0,0,0,0,0,difficult
5,1,0,0,0,0,0,0,3,6,0,0,0,0,0,0,easy
2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,difficult
7,-2,0,0,0,0,0,0,3,-1,0,0,0,0,0,0,easy
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,difficult
-3,-2,0,0,0,0,0,0,-4,-2,0,0,0,0,0,0,easy
-8,-3,0,0,0,0,0,0,-5,-3,0,0,0,0,0,0,difficult
-7,-1,0,0,0,0,0,0,-5,-1,0,0,0,0,0,0,easy
-3,0,0,0,0,0,0,0,-10,-1,0,0,0,0,0,0,difficult
-2,-1,0,0,0,0,0,0,-5,-1,0,0,0,0,0,0,easy
-3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,difficult
4,1,0,0,0,0,0,0,6,4,1,1,0,0,0,0,easy
4,-1,0,0,0,0,0,0,3,-1,0,0,0,0,0,0,difficult
3,1,0,0,0,0,0,0,-2,1,0,0,0,0,0,0,easy
10,1,0,0,0,0,0,0,-1,-2,0,0,0,0,0,0,difficult
-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,easy
-7,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,difficult
0,-1,0,0,0,0,0,0,5,-2,0,0,0,0,0,0,easy
-1,-1,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,difficult
3,2,0,0,0,0,0,0,7,3,0,1,0,0,0,0,easy
-3,0,-1,0,0,0,0,0,-5,-2,-1,0,0,0,0,0,difficult
-5,-4,0,0,0,0,0,0,6,-2,1,0,0,0,0,0,easy
10,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,difficult
1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,easy
1,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,difficult
-2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,easy
0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,difficult
