delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,state
-6,0,0,0,0,0,0,0,-6,0,0,0,0,0,0,0,-6,0,0,0,0,0,0,0,difficult
6,1,1,1,0,2,0,0,4,1,0,2,0,2,0,0,1,0,0,0,0,0,0,0,easy
-4,0,0,0,0,0,0,0,-4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,difficult
-3,-1,0,0,0,0,0,0,-4,-1,0,0,0,0,0,0,-4,-1,0,0,0,0,0,0,easy
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,difficult
4,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,7,1,1,0,0,0,0,easy
-4,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,-7,0,0,0,0,0,0,0,difficult
-2,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,easy
2,-5,-1,0,0,0,0,0,-1,-3,0,0,0,0,0,0,-3,-5,-1,0,0,0,0,0,difficult
-1,3,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,-7,1,1,0,0,0,0,0,easy
-3,0,0,0,0,0,0,0,-4,0,0,0,0,0,0,0,-4,0,0,0,0,0,0,0,difficult
0,-4,0,0,0,0,0,0,-5,-5,0,0,0,0,0,0,-5,-5,0,0,0,0,0,0,easy
5,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,difficult
8,2,0,0,0,0,0,0,-6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,easy
2,1,0,0,0,0,0,0,-4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,difficult
-1,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,easy
-3,0,0,0,0,0,0,0,-3,2,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,difficult
-7,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,-5,1,0,0,0,0,0,0,easy
-6,-1,0,0,0,0,0,0,-4,-1,0,0,0,0,0,0,-2,-1,0,0,0,0,0,0,difficult
-1,1,0,0,0,0,0,0,3,3,1,1,1,0,0,0,-2,0,0,0,0,0,0,0,easy
-3,-1,0,0,0,0,0,0,-3,-1,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,difficult
-2,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,easy
1,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,difficult
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,easy
6,0,0,0,0,0,0,0,-4,0,1,0,0,0,0,0,2,4,0,0,0,0,0,0,difficult
-1,-1,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,easy
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,difficult
-7,-2,0,0,0,0,0,0,-3,-1,0,0,0,0,0,0,-3,-2,0,0,0,0,0,0,easy
-2,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,difficult
9,6,5,2,2,1,1,0,1,6,0,0,0,0,0,0,-7,-1,0,0,0,0,0,0,easy
-6,1,0,0,0,0,0,0,-2,-2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,difficult
-6,-2,0,0,0,0,0,0,-6,3,0,0,0,0,0,0,-6,-2,0,0,0,0,0,0,easy
-3,-1,0,0,0,0,0,0,-3,-1,0,0,0,0,0,0,-3,-1,0,0,0,0,0,0,difficult
-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,easy
7,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,difficult
7,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,easy
2,-3,0,0,0,0,0,0,-5,-3,0,0,0,0,0,0,3,-3,0,0,0,0,0,0,difficult
8,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,easy
-6,0,0,0,0,0,0,0,-6,0,0,0,0,0,0,0,-6,0,0,0,0,0,0,0,difficult
5,-2,0,0,0,0,0,0,7,-2,0,0,0,0,0,0,1,-3,0,0,0,0,0,0,easy
2,0,0,0,0,0,0,0,9,6,0,0,0,0,0,0,4,1,0,0,0,0,0,0,difficult
