delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,state
-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,easy
-7,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,difficult
2,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,difficult
8,-1,1,0,0,0,0,0,-4,-2,0,0,0,0,0,0,easy
-2,-2,0,0,0,0,0,0,-7,-2,0,0,0,0,0,0,easy
-4,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,easy
0,-2,0,0,0,0,0,0,-5,-2,0,0,0,0,0,0,difficult
5,-3,0,0,0,0,0,0,-5,-3,0,0,0,0,0,0,easy
2,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,difficult
2,-1,1,0,0,0,0,0,-4,-2,0,0,0,0,0,0,difficult
